
Operation: borrow
Title,Author,PublicationYear,Status
AI in Healthcare,Ali Reza,2022,false

Operation: return
Title,Author,PublicationYear,Status
Science Today,Mary Editor,2023,true

Operation: change return time
Title,Author,PublicationYear,Status
test,Ali Reza,2022,true

Operation: remove
Title,Author,PublicationYear,Status
Java Basics,John Smith,2020,true

Operation: search by title
Title,Author,PublicationYear,Status
test,Reza,2018,true
test,Ali Reza,2022,true

Operation: search by title
Title,Author,PublicationYear,Status
test,Reza,2018,true
test,Ali Reza,2022,true

Operation: search by author
Title,Author,PublicationYear,Status
AI in Healthcare,Ali Reza,2022,true
test,Ali Reza,2022,true

Operation: remove
Title,Author,PublicationYear,Status
Science Today,Mary Editor,2023,false

Operation: search by title
Title,Author,PublicationYear,Status
test,Reza,2018,null
test,Ali Reza,2022,null

Operation: search by author
Title,Author,PublicationYear,Status
AI in Healthcare,Ali Reza,2022,null
test,Ali Reza,2022,null

Operation: remove
Title,Author,PublicationYear,Status
newte,tes,2014,EXIST

Operation: remove
Title,Author,PublicationYear,Status
,,2020,BORROWED

Operation: remove
Title,Author,PublicationYear,Status
HHH,hhh,2021,BANNED

Operation: remove
Title,Author,PublicationYear,Status
HHH,hhh,2021,BANNED
